OP;ODP;PEZZI ;DATA;ORA START;ORA STOP;SECONDI;CICLO;WEEKNUM;;;WEEK;SOMMA;MINUTI ;ORE / SETTIMANA;ORE GIORNO (5 GG LAV.);MEDIA ORE GIORNO 
OP000035;9999001;1;29/05/2023;17:24:11;17:30:45;394;394;22;;;;;;;;
OP000011;9999001;1;30/05/2023;07:07:29;08:26:30;4741;4741;22;;;;;;;;
OP000011;9999001;1;30/05/2023;12:36:08;12:49:00;772;772;22;;;;;;;;
OP000035;9999001;1;12/06/2023;15:42:54;15:47:05;251;251;24;;;;;;;;
OP000035;9999001;1;12/06/2023;16:33:04;16:40:42;458;458;24;;;;;;;;
OP000035;9999001;1;12/06/2023;17:29:06;17:36:31;445;445;24;;;;;;;;
OP000008;9999001;1;13/06/2023;07:06:46;09:02:27;6941;6941;24;;;;;;;;
OP000031;9999001;1;13/06/2023;09:51:45;10:05:22;817;817;24;;;;;;;;
OP000031;9999001;1;13/06/2023;10:43:24;10:53:26;602;602;24;;;;;;;;
OP000031;9999001;1;13/06/2023;11:40:45;11:48:24;459;459;24;;;;;;;;
OP000008;9999001;1;13/06/2023;12:44:11;12:54:47;636;636;24;;;;;;;;
OP000031;9999001;1;13/06/2023;13:32:27;13:38:47;380;380;24;;;;;;;;
OP000031;9999001;1;13/06/2023;14:45:29;14:59:42;853;853;24;;;;;;;;
OP000031;9999001;1;13/06/2023;15:32:54;15:40:50;476;476;24;;;;;;;;
OP000035;9999001;1;13/06/2023;16:04:38;16:11:15;397;397;24;;;;;;;;
OP000035;9999001;1;13/06/2023;17:22:32;17:34:49;737;737;24;;;;;;;;
OP000008;9999001;1;14/06/2023;07:07:08;08:36:14;5346;5346;24;;;;;;;;
OP000035;9999001;1;14/06/2023;07:58:19;08:55:30;3431;3431;24;;;;;;;;
OP000008;9999001;1;14/06/2023;12:40:07;12:48:56;529;529;24;;;;;;;;
OP000031;9999001;1;14/06/2023;15:07:04;15:20:26;802;802;24;;;;;;;;
OP000031;9999001;1;14/06/2023;15:54:17;16:15:15;1258;1258;24;;;;;;;;
OP000031;9999001;1;14/06/2023;16:47:13;17:05:36;1103;1103;24;;;;;;;;
OP000031;9999001;1;14/06/2023;17:20:01;17:27:59;478;478;24;;;;;;;;
OP000008;9999001;1;15/06/2023;07:01:25;08:20:54;4769;4769;24;;;;;;;;
OP000033;9999001;1;15/06/2023;08:05:43;08:51:54;2771;2771;24;;;;;;;;
OP000036;9999001;1;15/06/2023;08:01:36;09:27:04;5128;5128;24;;;;;;;;
OP000031;9999001;1;15/06/2023;15:16:50;15:38:25;1295;1295;24;;;;;;;;
OP000008;9999001;1;16/06/2023;07:09:17;09:23:48;8071;8071;24;;;;;;;;
OP000036;9999001;1;16/06/2023;07:58:14;09:24:21;5167;5167;24;;;;;;;;
OP000036;9999001;1;16/06/2023;13:29:34;14:15:19;2745;2745;24;;;;;;;;
OP000036;9999001;1;16/06/2023;14:46:48;14:58:00;672;672;24;;;;;;;;
OP000036;9999001;1;16/06/2023;15:38:36;16:00:29;1313;1313;24;;;;;;;;
OP000036;9999001;1;16/06/2023;16:36:13;16:48:54;761;761;24;;;;;;;;
OP000036;9999001;1;16/06/2023;17:22:10;17:43:35;1285;1285;24;;;;;;;;
OP000008;9999001;1;19/06/2023;06:55:38;08:30:48;5710;5710;25;;;;;;;;
OP000031;9999001;1;19/06/2023;09:10:17;09:19:35;558;558;25;;;;;;;;
OP000031;9999001;1;19/06/2023;09:40:33;09:43:49;196;196;25;;;;;;;;
OP000031;9999001;1;19/06/2023;10:55:56;11:20:18;1462;1462;25;;;;;;;;
OP000008;9999001;1;20/06/2023;07:05:53;08:58:45;6772;6772;25;;;;;;;;
OP000035;9999001;1;20/06/2023;08:00:30;09:09:49;4159;4159;25;;;;;;;;
OP000008;9999001;1;20/06/2023;12:42:04;13:11:27;1763;1763;25;;;;;;;;
OP000036;9999001;1;20/06/2023;15:19:41;15:37:17;1056;1056;25;;;;;;;;
OP000036;9999001;1;20/06/2023;16:17:14;16:57:27;2413;2413;25;;;;;;;;
OP000036;9999001;1;20/06/2023;17:17:47;17:35:57;1090;1090;25;;;;;;;;
OP000008;9999001;1;21/06/2023;06:55:54;08:16:21;4827;4827;25;;;;;;;;
OP000035;9999001;1;21/06/2023;07:58:53;09:11:18;4345;4345;25;;;;;;;;
OP000036;9999001;1;21/06/2023;10:22:19;11:13:35;3076;3076;25;;;;;;;;
OP000036;9999001;1;21/06/2023;11:43:24;12:03:45;1221;1221;25;;;;;;;;
